Language,Sentence,Target,true_flag,label_roberta,probability_roberta,label_langid,probability_langid,correct_prediction
English,The cat sat on the mat.,The cat sat on the mat.,en,en,0.9763492345809937,en,1.0,1
English,She loves to read books.,She loves to read books.,en,en,0.9926185011863708,en,0.9999999655104527,1
English,He is going to the market.,He is going to the market.,en,en,0.8920133113861084,en,1.0,1
English,They are playing soccer.,They are playing soccer.,en,en,0.9807071685791016,en,0.9999999999915239,1
English,The sun is shining brightly.,The sun is shining brightly.,en,en,0.9897196292877197,en,0.9999999999448463,1
English,Can you help me with this?,Can you help me with this?,en,en,0.9890103936195374,en,1.0,1
English,I enjoy listening to music.,I enjoy listening to music.,en,en,0.9920040965080261,en,0.9999999983300725,1
English,The flowers are blooming.,The flowers are blooming.,en,en,0.9886856079101562,en,0.9999999996849052,1
English,This is my favorite movie.,This is my favorite movie.,en,en,0.9937165379524231,en,0.9999999999307236,1
English,He works in a bank.,He works in a bank.,en,en,0.9224150776863098,en,0.995949263861819,1
English,The kids are playing in the park.,The kids are playing in the park.,en,en,0.9805690050125122,en,1.0,1
English,She cooked a delicious meal.,She cooked a delicious meal.,en,en,0.9938376545906067,en,0.9999999986485419,1
English,It is raining outside.,It is raining outside.,en,en,0.9938721656799316,en,0.9999950052767528,1
English,We are going on a vacation.,We are going on a vacation.,en,en,0.9661650061607361,en,0.9999979090725187,1
English,He bought a new car.,He bought a new car.,en,en,0.9748425483703613,en,0.9999973706736045,1
English,The dog is very friendly.,The dog is very friendly.,en,en,0.9935792684555054,en,0.9999999969633886,1
English,She sings beautifully.,She sings beautifully.,en,en,0.985529363155365,en,0.9999779522531531,1
English,They live in a big house.,They live in a big house.,en,en,0.9737982749938965,en,0.9999999991939037,1
English,He is a good teacher.,He is a good teacher.,en,en,0.9922919869422913,en,0.9999999995868014,1
English,The meeting starts at 10 AM.,The meeting starts at 10 AM.,en,en,0.9674832224845886,en,0.9999999999831299,1
French,Le chat est assis sur le tapis.,The cat is sitting on the carpet.,fr,fr,0.7621104717254639,fr,0.9999999980586527,1
